"best_actor_year","best_actor_url","best_actor_name","best_actor_name_url","best_actor_film_name","best_actor_film_url"
"1968 (41st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=41&view=3-Award%20Category-Chron","Cliff Robertson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4519&view=1-Nominee-Alpha","Charly","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2794&view=2-Film%20Title-Alpha"
"1969 (42nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=42&view=3-Award%20Category-Chron","John Wayne","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4633&view=1-Nominee-Alpha","True Grit","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3215&view=2-Film%20Title-Alpha"
"1970 (43rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=43&view=3-Award%20Category-Chron","George C. Scott","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4740&view=1-Nominee-Alpha","Patton","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3260&view=2-Film%20Title-Alpha"
"1971 (44th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=44&view=3-Award%20Category-Chron","Gene Hackman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4843&view=1-Nominee-Alpha","The French Connection","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3308&view=2-Film%20Title-Alpha"
"1972 (45th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=45&view=3-Award%20Category-Chron","Marlon Brando","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4947&view=1-Nominee-Alpha","The Godfather","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3355&view=2-Film%20Title-Alpha"
"1973 (46th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=46&view=3-Award%20Category-Chron","Jack Lemmon","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5055&view=1-Nominee-Alpha","Save the Tiger","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3403&view=2-Film%20Title-Alpha"
"1974 (47th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=47&view=3-Award%20Category-Chron","Art Carney","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5158&view=1-Nominee-Alpha","Harry and Tonto","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3448&view=2-Film%20Title-Alpha"
"1975 (48th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=48&view=3-Award%20Category-Chron","Jack Nicholson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5268&view=1-Nominee-Alpha","One Flew over the Cuckoo's Nest","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3123&view=2-Film%20Title-Alpha"
"1976 (49th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=49&view=3-Award%20Category-Chron","Peter Finch","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5379&view=1-Nominee-Alpha","Network","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3177&view=2-Film%20Title-Alpha"
"1977 (50th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=50&view=3-Award%20Category-Chron","Richard Dreyfuss","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5486&view=1-Nominee-Alpha","The Goodbye Girl","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3782&view=2-Film%20Title-Alpha"
"1978 (51st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=51&view=3-Award%20Category-Chron","Jon Voight","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5607&view=1-Nominee-Alpha","Coming Home","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3075&view=2-Film%20Title-Alpha"
"1979 (52nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=52&view=3-Award%20Category-Chron","Dustin Hoffman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5717&view=1-Nominee-Alpha","Kramer vs. Kramer","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1564&view=2-Film%20Title-Alpha"
"1980 (53rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=53&view=3-Award%20Category-Chron","Robert De Niro","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5836&view=1-Nominee-Alpha","Raging Bull","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2312&view=2-Film%20Title-Alpha"
"1981 (54th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=54&view=3-Award%20Category-Chron","Henry Fonda","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5944&view=1-Nominee-Alpha","On Golden Pond","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1935&view=2-Film%20Title-Alpha"
"1982 (55th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=55&view=3-Award%20Category-Chron","Ben Kingsley","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6097&view=1-Nominee-Alpha","Gandhi","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2050&view=2-Film%20Title-Alpha"
"1983 (56th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=56&view=3-Award%20Category-Chron","Robert Duvall","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6217&view=1-Nominee-Alpha","Tender Mercies","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2097&view=2-Film%20Title-Alpha"
"1984 (57th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=57&view=3-Award%20Category-Chron","F. Murray Abraham","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6324&view=1-Nominee-Alpha","Amadeus","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2140&view=2-Film%20Title-Alpha"
"1985 (58th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=58&view=3-Award%20Category-Chron","William Hurt","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6530&view=1-Nominee-Alpha","Kiss of the Spider Woman","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2235&view=2-Film%20Title-Alpha"
"1986 (59th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=59&view=3-Award%20Category-Chron","Paul Newman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6641&view=1-Nominee-Alpha","The Color of Money","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2249&view=2-Film%20Title-Alpha"
"1987 (60th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=60&view=3-Award%20Category-Chron","Michael Douglas","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6715&view=1-Nominee-Alpha","Wall Street","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2384&view=2-Film%20Title-Alpha"
"1988 (61st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=61&view=3-Award%20Category-Chron","Dustin Hoffman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6846&view=1-Nominee-Alpha","Rain Man","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2426&view=2-Film%20Title-Alpha"
"1989 (62nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=62&view=3-Award%20Category-Chron","Daniel Day Lewis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6988&view=1-Nominee-Alpha","My Left Foot","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2483&view=2-Film%20Title-Alpha"
"1990 (63rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=63&view=3-Award%20Category-Chron","Jeremy Irons","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7095&view=1-Nominee-Alpha","Reversal of Fortune","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2536&view=2-Film%20Title-Alpha"
"1991 (64th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=64&view=3-Award%20Category-Chron","Anthony Hopkins","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7212&view=1-Nominee-Alpha","The Silence of the Lambs","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2583&view=2-Film%20Title-Alpha"
"1992 (65th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=65&view=3-Award%20Category-Chron","Al Pacino","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7256&view=1-Nominee-Alpha","Scent of a Woman","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2632&view=2-Film%20Title-Alpha"
"1993 (66th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=66&view=3-Award%20Category-Chron","Tom Hanks","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7381&view=1-Nominee-Alpha","Philadelphia","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2678&view=2-Film%20Title-Alpha"
"1994 (67th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=67&view=3-Award%20Category-Chron","Tom Hanks","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7521&view=1-Nominee-Alpha","Forrest Gump","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1866&view=2-Film%20Title-Alpha"
"1995 (68th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=68&view=3-Award%20Category-Chron","Nicolas Cage","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7628&view=1-Nominee-Alpha","Leaving Las Vegas","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1539&view=2-Film%20Title-Alpha"
"1996 (69th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=69&view=3-Award%20Category-Chron","Geoffrey Rush","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7766&view=1-Nominee-Alpha","Shine","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3684&view=2-Film%20Title-Alpha"
"1997 (70th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=70&view=3-Award%20Category-Chron","Jack Nicholson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7892&view=1-Nominee-Alpha","As Good as It Gets","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3730&view=2-Film%20Title-Alpha"
"1998 (71st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=71&view=3-Award%20Category-Chron","Roberto Benigni","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8020&view=1-Nominee-Alpha","Life Is Beautiful","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3814&view=2-Film%20Title-Alpha"
