"best_actress_year","best_actress_url","best_actress_name","best_actress_name_url","best_actress_film_name","best_actress_film_url"
"1975 (48th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=48&view=3-Award%20Category-Chron","Louise Fletcher","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5279&view=1-Nominee-Alpha","One Flew over the Cuckoo's Nest","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3123&view=2-Film%20Title-Alpha"
"1976 (49th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=49&view=3-Award%20Category-Chron","Faye Dunaway","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5389&view=1-Nominee-Alpha","Network","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3177&view=2-Film%20Title-Alpha"
"1977 (50th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=50&view=3-Award%20Category-Chron","Diane Keaton","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5496&view=1-Nominee-Alpha","Annie Hall","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3780&view=2-Film%20Title-Alpha"
"1978 (51st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=51&view=3-Award%20Category-Chron","Jane Fonda","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5616&view=1-Nominee-Alpha","Coming Home","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3075&view=2-Film%20Title-Alpha"
"1979 (52nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=52&view=3-Award%20Category-Chron","Sally Field","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5728&view=1-Nominee-Alpha","Norma Rae","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1573&view=2-Film%20Title-Alpha"
"1980 (53rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=53&view=3-Award%20Category-Chron","Sissy Spacek","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5850&view=1-Nominee-Alpha","Coal Miner's Daughter","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2322&view=2-Film%20Title-Alpha"
"1981 (54th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=54&view=3-Award%20Category-Chron","Katharine Hepburn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5953&view=1-Nominee-Alpha","On Golden Pond","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1935&view=2-Film%20Title-Alpha"
"1982 (55th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=55&view=3-Award%20Category-Chron","Meryl Streep","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6109&view=1-Nominee-Alpha","Sophie's Choice","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2059&view=2-Film%20Title-Alpha"
"1983 (56th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=56&view=3-Award%20Category-Chron","Shirley MacLaine","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6225&view=1-Nominee-Alpha","Terms of Endearment","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2099&view=2-Film%20Title-Alpha"
"1984 (57th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=57&view=3-Award%20Category-Chron","Sally Field","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6334&view=1-Nominee-Alpha","Places in the Heart","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2145&view=2-Film%20Title-Alpha"
"1985 (58th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=58&view=3-Award%20Category-Chron","Geraldine Page","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6488&view=1-Nominee-Alpha","The Trip to Bountiful","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2227&view=2-Film%20Title-Alpha"
"1986 (59th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=59&view=3-Award%20Category-Chron","Marlee Matlin","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6619&view=1-Nominee-Alpha","Children of a Lesser God","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2246&view=2-Film%20Title-Alpha"
"1987 (60th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=60&view=3-Award%20Category-Chron","Cher","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6751&view=1-Nominee-Alpha","Moonstruck","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2000&view=2-Film%20Title-Alpha"
"1988 (61st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=61&view=3-Award%20Category-Chron","Jodie Foster","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6870&view=1-Nominee-Alpha","The Accused","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2399&view=2-Film%20Title-Alpha"
"1989 (62nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=62&view=3-Award%20Category-Chron","Jessica Tandy","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6954&view=1-Nominee-Alpha","Driving Miss Daisy","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2469&view=2-Film%20Title-Alpha"
"1990 (63rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=63&view=3-Award%20Category-Chron","Kathy Bates","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7086&view=1-Nominee-Alpha","Misery","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2530&view=2-Film%20Title-Alpha"
"1991 (64th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=64&view=3-Award%20Category-Chron","Jodie Foster","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7217&view=1-Nominee-Alpha","The Silence of the Lambs","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2583&view=2-Film%20Title-Alpha"
"1992 (65th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=65&view=3-Award%20Category-Chron","Emma Thompson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7268&view=1-Nominee-Alpha","Howards End","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2614&view=2-Film%20Title-Alpha"
"1993 (66th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=66&view=3-Award%20Category-Chron","Holly Hunter","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7391&view=1-Nominee-Alpha","The Piano","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2679&view=2-Film%20Title-Alpha"
"1994 (67th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=67&view=3-Award%20Category-Chron","Jessica Lange","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7531&view=1-Nominee-Alpha","Blue Sky","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2348&view=2-Film%20Title-Alpha"
